hr,pat,sbp,dbp
75.75757575757575,0.3325,103.15249999999999,69.62916666666666
67.13286713286713,0.331,100.88166666666666,65.3225
67.70098730606489,0.33199999999999996,99.43,64.47583333333333
69.66618287373004,0.331,99.82333333333334,64.42833333333333
69.97084548104957,0.32999999999999996,98.87333333333333,64.82999999999998
70.79646017699116,0.32799999999999996,97.63692307692307,65.39166666666667
71.42857142857143,0.328,99.8076923076923,65.80846153846154
74.81296758104739,0.33100000000000007,98.54461538461538,65.5123076923077
80.97165991902834,0.3275,97.31153846153846,62.74923076923077
82.87292817679558,0.35083333333333333,95.67071428571428,59.14615384615384
79.36507936507937,0.365,91.77461538461536,56.25999999999999
78.84362680683313,0.3375000000000001,88.69214285714285,53.85214285714286
81.08108108108108,0.32333333333333336,88.53785714285713,54.403571428571425
82.9875518672199,0.33083333333333337,86.33142857142856,53.532142857142865
84.86562942008486,0.37749999999999995,86.09571428571428,53.71642857142858
85.10638297872342,0.32749999999999996,86.34285714285714,54.122857142857136
85.30805687203792,0.31214285714285717,86.20533333333333,54.171333333333344
86.83068017366136,0.3075,86.66153846153847,54.64785714285715
88.66995073891624,0.31,86.30307692307693,54.577499999999986
87.37864077669903,0.33583333333333326,85.34090909090911,53.865
75.23510971786834,0.33999999999999997,82.8475,52.95700000000001
68.47360912981455,0.317,81.15166666666667,53.10142857142858
